keys	en
load_fail	Failed to load save, please try again later
saved_games	Saved Games
export_save	Export Save
import_save	Import Save
save_exported	Save Exported
save_exported_desc	Save exported to #
error	Error
save_not_found	Save not found at #
wipe_data	WIPE DATA
confirm	Confirm
copied_to_clipboard	Copied to Clipboard
leaderboards	Leaderboards
join_discord	Join Discord
leave_review	Leave a Review
leave_review_desc	Enjoying the game so far? Support us by leaving a review and receive 500k diamonds instantly
review	Review
not_now	Not now
claimed	Claimed
report_bug	Report Bug
describe_bug	Describe your issue here
submit	Submit
requires_restart	Restart your Game
requires_restart_desc	This setting requires restart to take full effect
version	Version
theme	THEME
wallpapers	Wallpapers
themes	Themes
wallpaper_custom	Custom
wallpaper_waves	Waves
wallpaper_nebulae	Nebulae
wallpaper_neutron_star	Neutron Star
wallpaper_classic	Classic
wallpaper_nova	Nova
wallpaper_riverside	Riverside View
wallpaper_jungle_sunset	Jungle Sunset
wallpaper_flare	Flare
wallpaper_silicon	Silicon
theme_dark	Dark
theme_flat	Flat
theme_silver	Silver
theme_classic	Classic
guide_components_main	Components serve as the foundation of your computer's progression, with each type increasing a specific attribute of your system. By upgrading a component, you can increase its level, but its count will reset to 1. Keep in mind that both purchasing and upgrading components require credits.
guide_components_gpu	Upgrade your GPU to increase your credit production.
guide_components_network	Upgrade your Network component to increase your upload speed, resulting in faster upload completion and more data.
guide_components_cpu	Upgrade your CPU to improve the performance of both your GPU and Network.
upload_types	Upload Formats
guide_upload_types	You have the option to choose a distinct file format with its own rewards, sizes, and progression for each upload slot. Simply select the preferred format and the upload speed will take care of the rest. When the first upload is finished, the next file of the same format will begin uploading automatically. To change the format, you can press the X icon at any time. "New" files refer to files that have not yet been uploaded, and you can monitor your progress in the statistics tab.
guide_upload_image	Image formats will reward you with credits on completion. Has a size modifier of x1.
guide_upload_music	Music formats will award you by recharging your battery based on the time taken to upload. Has a size modifier of x2
guide_upload_video	Video formats instantly completes all image and music uploads in progress. Has a size modifier of x4
guide_upload_game	Game formats awards you with a random boost effect when completed. Has a size modifier of x8
guide_upload_request	The upload request format can only be found using artifacts, and will award you with a permanent 1% increase in performance. Has a size modifier of 1024x
guide_upgrades_main	Talents offer unique benefits tailored to your preferences and can be obtained by using talent points. For instance, if you find disconnections or viruses frustrating, you may choose to allocate your talent points towards avoiding these issues instead of focusing solely on credit bonuses.
guide_upgrades_points	Talent Points are awarded each time you achieve a new level.
guide_upgrades_unlockables	Some talents require a minimum level to be unlocked, and some even require a certain technology
guide_hacks_main	Hacks are abilities that you can equip and utilize to gain benefits and boost your progress in game.  Some hacks can be activated instantly by pressing a button, while others require you to hold the button down to experience their effects.  Get hack experience by using hacks. The experience gained is based on the battery use, but cannot be changed by economy upgrades.
guide_hacks_points	Hack points are awarded every hack level, and can be used to unlock or upgrade hacks
guide_hacks_upgrades	Most hacks can be automated. Pressing hacks will be automatically used on full battery, while held hacks will be continuously pressed
guide_research_main	Research is a key mechanic revolved around storing your uploaded data to research new technologies and achieve milestones. Rebooting allows you to increase your science production by storing your uploaded data and starting a new system all over again.
guide_research_data	Each 1MB stored in the laboratory will grant you 1 Science A.
guide_research_techs	Use science points to unlock new technologies.
guide_research_perks	Science points also gives progression towards milestones that awards you with huge benefits.
guide_research_tip	Tip: You can enable Quick Research to research technologies with just a click
guide_shop_main	The shop allows you to spend diamonds in exchange for temporary benefits, items or services.
guide_shop_accelerator	Each Particle Accelerator will permanently provide you with 100 diamonds per second, while also increasing the diamond capacity by 1m
guide_shop_diamonds	Earn diamonds by completing upload requests, watching ads, or by producing them in the Particle Accelerator.
guide_shop_refresh	Toggle the refresh button to keep benefits always active.
guide_shop_parts	Purchase parts to craft and upgrade modules.
guide_modules_main	Modules are components that can be crafted and installed onto your system to provide benefits or modify it.  Modules come with different grades of quality, which are determined by their randomly generated attributes.
guide_modules_parts	Click on the random appearing chests to receive a module part.
guide_modules_shop	You can also purchase parts from the shop using diamonds.
guide_modules_perfect	A module can have its random attributes randomized by remaking it using PCBs.
guide_overclocking_main	Overclocking is a key mechanic that revolves around providing power to overclock your components.
guide_overclocking_unlockables	Use generators to increase your energy production.
guide_overclocking_space	Generators uses different amount of space. The icon above represents how much space a single unit of generator occupies.
guide_overclocking_disconnections	Generators produce heat, and having too much of it will compromise your generators. The icon above represents how much heat a generator produce.
guide_overclocking_amplifier	Each overclock boosts the component performance by x1.2.
guide_manufactory_main	The manufactory is a key mechanic that revolves around producing GPU and Network components over time by utilizing assemblers.
guide_manufactory_electronics	Produce electronics by purchasing and upgrading the Circuit Fabricator.
guide_manufactory_assembly	Activate your assemblers to produce components, and turn them off when you need to save electronics.
guide_manufactory_upgrade	Purchase modification points to modify your factory and achieve different effects. More modifications can be unlocked via research.
guide_robots_main	Robots are autonomous workers that can be assigned to automate specific tasks while you focus on other mechanics.
guide_robots_components	Robots can purchase and upgrade components, and will always choose the cheapest option.
guide_robots_milestones	You can get more robots by upgrading the Additional Robot talent
guide_robots_work_time	Robots can be slow sometimes, that is why you might need to assign multiple of them to perform the same task, this will reduce the work time linearly.
guide_field_main	Field Modulation is a key mechanic revolved around manipulating the quantum fields to increase the flow of credits, data, power and electronics.
guide_field_fields	Double click a field to expand it and reveal the grid. Expanding always costs 1 flux.
guide_field_flux	You can increase your flux production by expanding flux fields and achieving research milestones.
guide_field_flow	Expand credits, data, power or electronics flow fields to boost their production by x2.
credits_main	Upload Simulator 2  Developed by EnigmaDev Studios Game Design: EnigmaDev Programming: EnigmaDev Art and Graphics: Holy Additional Programming: Holy
credits_soundtrack	Soundtrack: Grounded by Jameson Nathan Jones Fragments by Palm Blue Null by VESHZA
credits_translation	Chinese: german.cheung  Deleted User 7f983ae1  Dutch:  Zephyros Shorrie  French:  CarotteArcEnCiel PigMaster  German: Holy HolyFire  Indonesian: StackoTra (Tra) Xwtek  Italian: D4V1D3_008 CrimsonPlasm  Korean:  kushleen  Polish:  Rino Olie CherryMakesGames  Portuguese: EnigmaDev  Romanian: Dreams  Russian: HoneyHesoyam2.0  Spanish: SrAnonymus#4122 SWATARA#5313  Ukrainian: Stalker  Vietnamese: ThanhZ
credits_misc	Special thanks to all our supporters who contributed in the development of Upload Simulator 2 through item purchases, testing and translating
English	English
Italian	Italian
Russian	Russian
Spanish	Spanish
German	German
Portuguese	Portuguese
Dutch	Dutch
French	French
Korean	Korean
Turkish	Turkish
Romanian	Romanian
Chinese	Chinese
Indonesian	Indonesian
Vietnamese	Vietnamese
Japanese	Japanese
Polish	Polish
Ukrainian	Ukrainian
